[11/05 23:32:19] d2.utils.events INFO:  eta: 8:10:02  iter: 459  total_loss: 0.348  loss_cls: 0.120  loss_box_reg: 0.165  loss_rpn_cls: 0.020  loss_rpn_loc: 0.012  time: 2.0159  data_time: 0.0026  lr: 0.001149  max_mem: 4622M
[11/05 23:33:00] d2.utils.events INFO:  eta: 8:09:30  iter: 479  total_loss: 0.415  loss_cls: 0.138  loss_box_reg: 0.236  loss_rpn_cls: 0.022  loss_rpn_loc: 0.010  time: 2.0169  data_time: 0.0028  lr: 0.001199  max_mem: 4622M
[11/05 23:33:40] d2.utils.events INFO:  eta: 8:08:41  iter: 499  total_loss: 0.416  loss_cls: 0.158  loss_box_reg: 0.209  loss_rpn_cls: 0.020  loss_rpn_loc: 0.010  time: 2.0175  data_time: 0.0029  lr: 0.001249  max_mem: 4622M
[11/05 23:34:20] d2.utils.events INFO:  eta: 8:08:09  iter: 519  total_loss: 0.348  loss_cls: 0.129  loss_box_reg: 0.186  loss_rpn_cls: 0.015  loss_rpn_loc: 0.011  time: 2.0168  data_time: 0.0027  lr: 0.001299  max_mem: 4622M
[11/05 23:35:01] d2.utils.events INFO:  eta: 8:07:35  iter: 539  total_loss: 0.370  loss_cls: 0.136  loss_box_reg: 0.216  loss_rpn_cls: 0.021  loss_rpn_loc: 0.010  time: 2.0170  data_time: 0.0028  lr: 0.001349  max_mem: 4622M
[11/05 23:35:41] d2.utils.events INFO:  eta: 8:06:54  iter: 559  total_loss: 0.401  loss_cls: 0.150  loss_box_reg: 0.211  loss_rpn_cls: 0.018  loss_rpn_loc: 0.008  time: 2.0162  data_time: 0.0029  lr: 0.001399  max_mem: 4622M
[11/05 23:36:21] d2.utils.events INFO:  eta: 8:06:08  iter: 579  total_loss: 0.557  loss_cls: 0.207  loss_box_reg: 0.328  loss_rpn_cls: 0.030  loss_rpn_loc: 0.015  time: 2.0159  data_time: 0.0031  lr: 0.001449  max_mem: 4622M
[11/05 23:37:01] d2.utils.events INFO:  eta: 8:05:35  iter: 599  total_loss: 0.369  loss_cls: 0.120  loss_box_reg: 0.253  loss_rpn_cls: 0.023  loss_rpn_loc: 0.009  time: 2.0161  data_time: 0.0028  lr: 0.001499  max_mem: 4622M
[11/05 23:37:41] d2.utils.events INFO:  eta: 8:04:55  iter: 619  total_loss: 0.468  loss_cls: 0.136  loss_box_reg: 0.270  loss_rpn_cls: 0.019  loss_rpn_loc: 0.012  time: 2.0159  data_time: 0.0029  lr: 0.001548  max_mem: 4622M
[11/05 23:38:21] d2.utils.events INFO:  eta: 8:04:12  iter: 639  total_loss: 0.402  loss_cls: 0.115  loss_box_reg: 0.256  loss_rpn_cls: 0.019  loss_rpn_loc: 0.010  time: 2.0152  data_time: 0.0030  lr: 0.001598  max_mem: 4622M
[11/05 23:39:01] d2.utils.events INFO:  eta: 8:03:11  iter: 659  total_loss: 0.454  loss_cls: 0.143  loss_box_reg: 0.287  loss_rpn_cls: 0.016  loss_rpn_loc: 0.013  time: 2.0140  data_time: 0.0031  lr: 0.001648  max_mem: 4622M
[11/05 23:39:40] d2.utils.events INFO:  eta: 8:02:20  iter: 679  total_loss: 0.378  loss_cls: 0.102  loss_box_reg: 0.245  loss_rpn_cls: 0.014  loss_rpn_loc: 0.011  time: 2.0126  data_time: 0.0031  lr: 0.001698  max_mem: 4622M
[11/05 23:40:20] d2.utils.events INFO:  eta: 8:01:23  iter: 699  total_loss: 0.586  loss_cls: 0.171  loss_box_reg: 0.297  loss_rpn_cls: 0.022  loss_rpn_loc: 0.011  time: 2.0120  data_time: 0.0029  lr: 0.001748  max_mem: 4622M
[11/05 23:40:59] d2.utils.events INFO:  eta: 8:00:22  iter: 719  total_loss: 0.565  loss_cls: 0.145  loss_box_reg: 0.305  loss_rpn_cls: 0.023  loss_rpn_loc: 0.012  time: 2.0107  data_time: 0.0031  lr: 0.001798  max_mem: 4622M
[11/05 23:41:39] d2.utils.events INFO:  eta: 7:59:37  iter: 739  total_loss: 0.447  loss_cls: 0.150  loss_box_reg: 0.288  loss_rpn_cls: 0.016  loss_rpn_loc: 0.006  time: 2.0102  data_time: 0.0029  lr: 0.001848  max_mem: 4622M
[11/05 23:42:19] d2.utils.events INFO:  eta: 7:58:57  iter: 759  total_loss: 0.502  loss_cls: 0.159  loss_box_reg: 0.286  loss_rpn_cls: 0.021  loss_rpn_loc: 0.010  time: 2.0104  data_time: 0.0029  lr: 0.001898  max_mem: 4622M
[11/05 23:42:59] d2.utils.events INFO:  eta: 7:58:12  iter: 779  total_loss: 0.358  loss_cls: 0.114  loss_box_reg: 0.228  loss_rpn_cls: 0.017  loss_rpn_loc: 0.008  time: 2.0090  data_time: 0.0029  lr: 0.001948  max_mem: 4622M
[11/05 23:43:38] d2.utils.events INFO:  eta: 7:57:30  iter: 799  total_loss: 0.395  loss_cls: 0.109  loss_box_reg: 0.263  loss_rpn_cls: 0.011  loss_rpn_loc: 0.008  time: 2.0084  data_time: 0.0028  lr: 0.001998  max_mem: 4622M
[11/05 23:44:17] d2.utils.events INFO:  eta: 7:56:33  iter: 819  total_loss: 0.452  loss_cls: 0.135  loss_box_reg: 0.249  loss_rpn_cls: 0.019  loss_rpn_loc: 0.013  time: 2.0071  data_time: 0.0029  lr: 0.002048  max_mem: 4622M
[11/05 23:44:57] d2.utils.events INFO:  eta: 7:55:48  iter: 839  total_loss: 0.447  loss_cls: 0.112  loss_box_reg: 0.307  loss_rpn_cls: 0.015  loss_rpn_loc: 0.007  time: 2.0070  data_time: 0.0028  lr: 0.002098  max_mem: 4622M
[11/05 23:45:38] d2.utils.events INFO:  eta: 7:55:03  iter: 859  total_loss: 0.447  loss_cls: 0.124  loss_box_reg: 0.315  loss_rpn_cls: 0.012  loss_rpn_loc: 0.008  time: 2.0070  data_time: 0.0028  lr: 0.002148  max_mem: 4622M
[11/05 23:46:18] d2.utils.events INFO:  eta: 7:54:27  iter: 879  total_loss: 0.539  loss_cls: 0.183  loss_box_reg: 0.340  loss_rpn_cls: 0.018  loss_rpn_loc: 0.009  time: 2.0072  data_time: 0.0029  lr: 0.002198  max_mem: 4622M
[11/05 23:46:58] d2.utils.events INFO:  eta: 7:53:47  iter: 899  total_loss: 0.437  loss_cls: 0.130  loss_box_reg: 0.296  loss_rpn_cls: 0.015  loss_rpn_loc: 0.011  time: 2.0068  data_time: 0.0029  lr: 0.002248  max_mem: 4622M
[11/05 23:47:38] d2.utils.events INFO:  eta: 7:53:06  iter: 919  total_loss: 0.472  loss_cls: 0.126  loss_box_reg: 0.267  loss_rpn_cls: 0.015  loss_rpn_loc: 0.011  time: 2.0069  data_time: 0.0027  lr: 0.002298  max_mem: 4622M
[11/05 23:48:19] d2.utils.events INFO:  eta: 7:52:26  iter: 939  total_loss: 0.436  loss_cls: 0.136  loss_box_reg: 0.275  loss_rpn_cls: 0.011  loss_rpn_loc: 0.008  time: 2.0073  data_time: 0.0027  lr: 0.002348  max_mem: 4622M
[11/05 23:48:59] d2.utils.events INFO:  eta: 7:51:48  iter: 959  total_loss: 0.454  loss_cls: 0.126  loss_box_reg: 0.303  loss_rpn_cls: 0.012  loss_rpn_loc: 0.010  time: 2.0074  data_time: 0.0029  lr: 0.002398  max_mem: 4622M
